27-03-2020 23:19:43.733 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.core.env.PropertySourcesPropertyResolver.Could not find key 'logging.register-shutdown-hook' in any property source
27-03-2020 23:19:43.741 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.boot.context.logging.ClasspathLoggingApplicationListener.Application started with classpath: [file:/home/fasil/IdeaProjects/covid19-Rest-api/target/classes/]
27-03-2020 23:19:43.741 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.core.env.PropertySourcesPropertyResolver.Could not find key 'context.listener.classes' in any property source
27-03-2020 23:19:43.770 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.web.context.support.StandardServletEnvironment.Adding PropertySource 'configurationProperties' with highest search precedence
27-03-2020 23:19:43.785 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.core.env.PropertySourcesPropertyResolver.Could not find key 'spring.beaninfo.ignore' in any property source
27-03-2020 23:19:43.812 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.core.env.PropertySourcesPropertyResolver.Could not find key 'spring.banner.image.location' in any property source
27-03-2020 23:19:43.837 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.core.env.PropertySourcesPropertyResolver.Could not find key 'spring.banner.location' in any property source
27-03-2020 23:19:43.977 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.web.context.support.StandardServletEnvironment.Adding PropertySource 'servletConfigInitParams' with lowest search precedence
27-03-2020 23:19:43.977 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.web.context.support.StandardServletEnvironment.Adding PropertySource 'servletContextInitParams' with lowest search precedence
27-03-2020 23:19:43.978 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.web.context.support.StandardServletEnvironment.Adding PropertySource 'systemProperties' with lowest search precedence
27-03-2020 23:19:43.978 | API_VERSION_IS_UNDEFINED |  | DEBUG | org.springframework.web.context.support.StandardServletEnvironment.Adding PropertySource 'systemEnvironment' with lowest search precedence
